game_id,date_time_utc,season_name,log_attendance,attendance,is_relocated_team,table_rank,opponent_table_rank,days_since_last_home_game,day_of_week,year,venue_name,home_team,away_team,stadium_capacity,metro_size,dedicated_soccer_facility,shared_with_other_league,team_venue_tenure,team_league_tenure,stadium_age_years,catchment_pop_30min,catchment_pop_60min
ljqE3k0YMx,2016-04-16 23:00:00+00:00,2016,8.182559264068665,3578.0,1,1,1,,Saturday,2016,Maryland SoccerPlex,Washington Spirit,Boston Breakers,4000.0,25934.0,1,0,,,26.0,12217.0,25934.0
N6MmLzjwQE,2016-04-17 00:30:00+00:00,2016,8.954156966583772,7740.0,0,2,2,,Sunday,2016,Shell Energy Stadium,Houston Dash,Chicago Stars FC,22039.0,549316.0,1,1,,,14.0,57833.0,549316.0
Xj5Y3zRxQb,2016-04-17 23:00:00+00:00,2016,8.290794347381356,3987.0,1,3,3,,Sunday,2016,Moda Field,Seattle Reign FC,NJ/NY Gotham FC,,,1,0,,,,,
jYQJ6y4EQG,2016-04-18 02:00:00+00:00,2016,9.684896124569141,16073.0,0,4,4,,Monday,2016,Providence Park,Portland Thorns FC,Orlando Pride,25218.0,694333.0,1,1,,,100.0,92452.0,694333.0
Oa5wx63Xq1,2016-04-23 23:00:00+00:00,2016,7.835579246669965,2529.0,0,5,5,,Saturday,2016,SeatGeek Stadium,Chicago Stars FC,Western New York Flash,20000.0,,1,1,,,20.0,,
eVq3Xl9gQW,2016-04-23 23:30:00+00:00,2016,10.060619498256424,23403.0,0,6,1,,Saturday,2016,Camping World Stadium,Orlando Pride,Houston Dash,19500.0,,1,1,,0.0,90.0,,
NWMWJznzQl,2016-04-24 22:00:00+00:00,2016,7.852050207265889,2571.0,0,2,2,,Sunday,2016,Yurcak Field,NJ/NY Gotham FC,Washington Spirit,,,1,0,,,,,
0Oq64eP7M6,2016-04-30 00:30:00+00:00,2016,8.533263371593732,5081.0,0,3,3,13.0,Saturday,2016,Shell Energy Stadium,Houston Dash,NJ/NY Gotham FC,22039.0,549316.0,1,1,,,14.0,57833.0,549316.0
gOMnyzpxQw,2016-05-01 22:00:00+00:00,2016,8.300031711779575,4024.0,0,5,5,7.0,Sunday,2016,SeatGeek Stadium,Chicago Stars FC,Orlando Pride,20000.0,,1,1,,,20.0,,
vzqoLzavQa,2016-05-01 23:00:00+00:00,2016,8.314587291319576,4083.0,1,6,8,14.0,Sunday,2016,Moda Field,Seattle Reign FC,FC Kansas City,,,1,0,,,,,
