from_id,GEOID,travel_time_minutes,site_label,site_name
0x5g6ojM7O,48157674100,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48157674200,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201323701,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201450801,83.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201451902,91.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201453403,105.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201453601,108.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201453501,115.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201453502,105.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48157670400,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48157670300,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48157670700,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201511302,56.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201520601,79.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201212300,34.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201212400,82.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201251902,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201511001,67.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201522302,65.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201522202,76.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201522301,74.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201522201,82.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201532502,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201522500,69.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201314001,47.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201320602,79.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201321401,95.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201323702,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201340203,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201342002,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201534001,87.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201533902,111.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201550603,97.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48039660705,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48039660609,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48039660806,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48039660603,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48039660608,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48039660610,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48039660704,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48039660501,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48039660503,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48039660804,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201550601,112.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48157674404,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48157674403,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201331602,75.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201320601,84.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201350601,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201431401,71.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201540502,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201511301,44.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201223001,102.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201330303,106.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201334003,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201343301,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201341501,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201341502,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201340302,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201551702,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201540602,,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201330301,114.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201334001,111.0,0x5g6ojM7O,Shell Energy Stadium
0x5g6ojM7O,48201533702,90.0,0x5g6ojM7O,Shell Energy Stadium
