from_id,GEOID,travel_time_minutes,site_label,site_name
p6qbX06M0G,41067031621,51.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031816,56.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031618,47.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031818,70.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031620,60.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031708,57.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031707,96.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032302,71.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031202,46.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031008,53.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031516,53.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031201,41.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031010,68.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031012,55.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031011,61.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020302,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022107,86.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031622,44.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031619,50.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022605,107.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022603,104.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022710,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031519,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067030103,27.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032611,45.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067030105,37.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032412,59.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031819,82.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031626,53.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032111,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032201,100.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031009,77.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031518,88.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031623,35.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022205,98.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031515,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032414,54.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031625,56.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032413,55.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031520,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031624,49.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031302,29.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031914,87.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031817,98.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032202,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067030104,38.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031916,95.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031517,60.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020602,88.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020201,73.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020102,64.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022502,88.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020506,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022109,104.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022110,108.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020507,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020101,97.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020601,73.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020202,99.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005024401,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022501,100.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031301,40.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032301,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031915,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031913,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067030106,58.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031821,81.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031820,82.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031007,62.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031917,89.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031918,87.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032112,88.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032612,71.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032411,61.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005021801,92.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022000,101.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022400,84.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031807,58.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031507,45.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067030501,69.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005021700,82.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022101,97.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022108,117.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005024402,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005023300,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020503,69.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020700,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005021000,75.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005021500,105.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000802,50.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022207,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022901,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020404,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020900,58.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005021100,74.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005021200,54.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005021400,68.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020504,84.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020505,72.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051010200,101.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002401,38.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002402,32.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002501,41.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002502,35.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006802,49.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051007700,51.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006502,49.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006601,75.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006602,50.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006701,50.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006702,47.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006801,53.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051010303,84.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051010304,82.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006900,43.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051007300,63.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051007400,57.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051007500,55.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051007600,52.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051007800,55.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000401,58.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003100,47.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003200,44.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003302,38.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003401,37.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000502,61.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000402,56.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000601,63.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000602,66.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000701,52.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000702,55.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000501,66.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003402,33.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003502,42.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031904,80.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032603,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067030200,37.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031804,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067032503,,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000801,45.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000901,43.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000902,45.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001000,34.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001101,24.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001102,32.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001202,36.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001302,40.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003603,56.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003701,48.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003702,39.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003602,54.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003802,45.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051010405,79.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051007201,95.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051010410,83.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051007100,,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001301,31.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051010408,,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006100,44.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051010500,,p6qbX06M0G,Providence Park
p6qbX06M0G,41051000301,57.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006402,,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003902,49.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003301,44.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051004800,12.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051007202,,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001602,49.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001400,41.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001500,41.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001601,43.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001702,42.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001801,35.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051980000,57.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002303,25.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002600,43.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051004700,23.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008001,54.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008002,66.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008100,50.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008201,51.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008400,61.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008500,75.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051005500,13.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051009101,69.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022905,,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031506,48.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022708,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022302,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022606,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005022707,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005023002,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005023001,,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020303,96.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020304,85.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41005020401,,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003000,47.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003601,49.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003501,46.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051004002,52.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002801,40.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008301,53.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051010002,75.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051003803,45.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006001,42.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051005800,41.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051009903,,p6qbX06M0G,Providence Park
p6qbX06M0G,41051009202,63.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001802,35.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051001900,32.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051004500,26.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051004601,24.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051004102,60.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051004200,69.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002701,42.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002702,36.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002802,41.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002901,46.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002902,49.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051002903,51.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051004602,27.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008600,63.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008700,61.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008800,61.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051008902,69.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031403,50.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031511,82.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41051006404,60.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031612,45.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031703,54.0,p6qbX06M0G,Providence Park
p6qbX06M0G,41067031705,53.0,p6qbX06M0G,Providence Park
