from_id,GEOID,travel_time_minutes,site_label,site_name
0Oq62v7q6D,06073008331,,old,Torero Stadium
0Oq62v7q6D,06073008336,,old,Torero Stadium
0Oq62v7q6D,06073008337,,old,Torero Stadium
0Oq62v7q6D,06073011601,89.0,old,Torero Stadium
0Oq62v7q6D,06073011602,98.0,old,Torero Stadium
0Oq62v7q6D,06073011700,88.0,old,Torero Stadium
0Oq62v7q6D,06073011801,88.0,old,Torero Stadium
0Oq62v7q6D,06073013307,103.0,old,Torero Stadium
0Oq62v7q6D,06073013309,114.0,old,Torero Stadium
0Oq62v7q6D,06073013312,117.0,old,Torero Stadium
0Oq62v7q6D,06073008343,44.0,old,Torero Stadium
0Oq62v7q6D,06073008344,46.0,old,Torero Stadium
0Oq62v7q6D,06073008345,49.0,old,Torero Stadium
0Oq62v7q6D,06073013401,,old,Torero Stadium
0Oq62v7q6D,06073013409,119.0,old,Torero Stadium
0Oq62v7q6D,06073015601,,old,Torero Stadium
0Oq62v7q6D,06073015701,,old,Torero Stadium
0Oq62v7q6D,06073008348,116.0,old,Torero Stadium
0Oq62v7q6D,06073008349,109.0,old,Torero Stadium
0Oq62v7q6D,06073008351,110.0,old,Torero Stadium
0Oq62v7q6D,06073008352,,old,Torero Stadium
0Oq62v7q6D,06073008353,,old,Torero Stadium
0Oq62v7q6D,06073015801,,old,Torero Stadium
0Oq62v7q6D,06073015901,85.0,old,Torero Stadium
0Oq62v7q6D,06073015902,89.0,old,Torero Stadium
0Oq62v7q6D,06073016000,94.0,old,Torero Stadium
0Oq62v7q6D,06073008355,92.0,old,Torero Stadium
0Oq62v7q6D,06073008356,119.0,old,Torero Stadium
0Oq62v7q6D,06073008357,95.0,old,Torero Stadium
0Oq62v7q6D,06073008358,94.0,old,Torero Stadium
0Oq62v7q6D,06073008359,79.0,old,Torero Stadium
0Oq62v7q6D,06073016401,,old,Torero Stadium
0Oq62v7q6D,06073016100,105.0,old,Torero Stadium
0Oq62v7q6D,06073016202,100.0,old,Torero Stadium
0Oq62v7q6D,06073016301,116.0,old,Torero Stadium
0Oq62v7q6D,06073016302,117.0,old,Torero Stadium
0Oq62v7q6D,06073003209,95.0,old,Torero Stadium
0Oq62v7q6D,06073003211,103.0,old,Torero Stadium
0Oq62v7q6D,06073003212,99.0,old,Torero Stadium
0Oq62v7q6D,06073003213,108.0,old,Torero Stadium
0Oq62v7q6D,06073008360,,old,Torero Stadium
0Oq62v7q6D,06073008502,42.0,old,Torero Stadium
0Oq62v7q6D,06073008504,32.0,old,Torero Stadium
0Oq62v7q6D,06073008505,41.0,old,Torero Stadium
0Oq62v7q6D,06073016502,,old,Torero Stadium
0Oq62v7q6D,06073003214,112.0,old,Torero Stadium
0Oq62v7q6D,06073003301,78.0,old,Torero Stadium
0Oq62v7q6D,06073003303,87.0,old,Torero Stadium
0Oq62v7q6D,06073003403,74.0,old,Torero Stadium
0Oq62v7q6D,06073008506,34.0,old,Torero Stadium
0Oq62v7q6D,06073008507,37.0,old,Torero Stadium
0Oq62v7q6D,06073008509,35.0,old,Torero Stadium
0Oq62v7q6D,06073008510,35.0,old,Torero Stadium
0Oq62v7q6D,06073008512,38.0,old,Torero Stadium
0Oq62v7q6D,06073017303,,old,Torero Stadium
0Oq62v7q6D,06073003404,74.0,old,Torero Stadium
0Oq62v7q6D,06073003501,77.0,old,Torero Stadium
0Oq62v7q6D,06073003502,80.0,old,Torero Stadium
0Oq62v7q6D,06073003602,87.0,old,Torero Stadium
0Oq62v7q6D,06073003603,91.0,old,Torero Stadium
0Oq62v7q6D,06073008513,38.0,old,Torero Stadium
0Oq62v7q6D,06073008600,21.0,old,Torero Stadium
0Oq62v7q6D,06073008701,12.0,old,Torero Stadium
0Oq62v7q6D,06073008702,29.0,old,Torero Stadium
0Oq62v7q6D,06073017305,,old,Torero Stadium
0Oq62v7q6D,06073009108,38.0,old,Torero Stadium
0Oq62v7q6D,06073017069,110.0,old,Torero Stadium
0Oq62v7q6D,06073003800,84.0,old,Torero Stadium
0Oq62v7q6D,06073003901,68.0,old,Torero Stadium
0Oq62v7q6D,06073003902,76.0,old,Torero Stadium
0Oq62v7q6D,06073004000,67.0,old,Torero Stadium
0Oq62v7q6D,06073008800,28.0,old,Torero Stadium
0Oq62v7q6D,06073008901,28.0,old,Torero Stadium
0Oq62v7q6D,06073013317,,old,Torero Stadium
0Oq62v7q6D,06073017202,,old,Torero Stadium
0Oq62v7q6D,06073017068,,old,Torero Stadium
0Oq62v7q6D,06073013325,119.0,old,Torero Stadium
0Oq62v7q6D,06073013318,,old,Torero Stadium
0Oq62v7q6D,06073001301,60.0,old,Torero Stadium
0Oq62v7q6D,06073015407,,old,Torero Stadium
0Oq62v7q6D,06073008367,,old,Torero Stadium
0Oq62v7q6D,06073007304,68.0,old,Torero Stadium
0Oq62v7q6D,06073005602,59.0,old,Torero Stadium
0Oq62v7q6D,06073021306,,old,Torero Stadium
0Oq62v7q6D,06073013319,,old,Torero Stadium
0Oq62v7q6D,06073009101,54.0,old,Torero Stadium
0Oq62v7q6D,06073013324,,old,Torero Stadium
0Oq62v7q6D,06073009000,32.0,old,Torero Stadium
0Oq62v7q6D,06073008371,,old,Torero Stadium
