from_id,GEOID,travel_time_minutes,site_label,site_name
Vj58W84M8n,06001442700,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001442800,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001442900,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06087120901,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001443001,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001443002,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001443102,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001443301,101.0,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001444100,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001444200,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001444400,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001444500,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001441602,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001441921,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001441923,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001442100,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001442400,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001441525,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001451104,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001441928,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001441929,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001441701,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001444304,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001442502,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001442501,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06001444303,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085503111,74.0,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085503112,63.0,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085506302,51.0,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085511200,95.0,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085506801,97.0,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085509801,73.0,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085511911,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085507600,,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085505202,43.0,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085512035,90.0,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085511913,92.0,Vj58W84M8n,PayPal Park
Vj58W84M8n,06085502500,65.0,Vj58W84M8n,PayPal Park
