depth,iterations,learning_rate,l2_leaf_reg,lovo_r2
6,300,0.05,3,0.0038706440318152513
5,300,0.05,3,-0.02642671028609045
6,1000,0.05,3,-0.04801671504075866
6,300,0.05,10,-0.052164794142605775
6,300,0.1,10,-0.057873384529679495
6,1000,0.1,10,-0.06792258202263923
5,1000,0.05,3,-0.07899579863821549
6,300,0.1,3,-0.09822341395844081
6,1000,0.05,10,-0.09897888955039735
5,300,0.05,10,-0.11066758548436595
6,1000,0.1,3,-0.1181422666694325
5,1000,0.05,10,-0.1362147166153771
3,300,0.05,3,-0.14212732147090712
5,300,0.1,10,-0.14715647140389776
3,300,0.05,10,-0.15064602146398043
5,300,0.1,3,-0.16315794475047607
3,300,0.1,3,-0.17814769237439032
5,1000,0.1,10,-0.1797669125115331
3,300,0.1,10,-0.1838261409355797
3,1000,0.05,3,-0.21092577605993656
5,1000,0.1,3,-0.2120666421764379
3,1000,0.05,10,-0.2594024641130128
3,1000,0.1,10,-0.320833001700201
3,1000,0.1,3,-0.33221808187387714
