held_out_team,n_games,pearson_r
Washington Spirit,102,0.8780672749141908
NJ/NY Gotham FC,107,0.7929237635359674
Seattle Reign FC,107,0.6798027794136547
San Diego Wave FC,59,0.6167556742081949
Orlando Pride,108,0.46337536136310226
Houston Dash,107,0.33232223350941564
Portland Thorns FC,111,0.3293381786678248
North Carolina Courage,103,0.3281144840918445
Angel City FC,41,0.249246181687452
Bay FC,33,0.23545748315029197
Racing Louisville FC,62,0.22977656076230557
Chicago Stars FC,103,0.2159814193109174
Utah Royals FC,59,0.0010331571824515424
Kansas City Current,30,-0.11057896539782042
