team,venue_name,n_games,r2,pearson_r,mae,rmse,mean_attendance
Racing Louisville FC,Lynn Family Stadium,62,-0.17305074418740674,0.3986304899556539,1158.6814408256455,1462.288021864423,5844.048387096775
Washington Spirit,Maryland SoccerPlex,44,-1.1750872760252604,0.3475477967598021,1172.6328862253201,1338.9985368038485,3614.931818181818
Seattle Reign FC,Cheney Stadium,12,0.04411453114678632,0.25896120312809856,1347.5251760793776,1502.6982720315066,5212.583333333333
North Carolina Courage,WakeMed Soccer Park,103,-0.1865343852572965,0.11633213067977272,1818.7220760093383,2356.964045885929,5868.300970873786
Orlando Pride,Inter&Co Stadium,98,-0.12045347436749676,0.5799729640602931,2561.217807894934,3287.3033285688352,6797.632653061224
Utah Royals FC,America First Field,59,-0.4760773804456142,-0.017845884706403987,2677.684946928108,4124.382849965871,9777.338983050848
Houston Dash,Shell Energy Stadium,107,-1.5878524862662404,0.3237861966939596,2747.5026794735563,3182.94206400653,5432.887850467289
Seattle Reign FC,Lumen Field,61,0.1325102858953926,0.41512077494323213,2856.1832083044865,5930.528038389848,9073.557377049181
NJ/NY Gotham FC,Sports Illustrated Stadium,63,-0.16287029763993055,0.4946348622097816,3016.1818340792242,3631.344175273543,7393.285714285715
San Diego Wave FC,Torero Stadium,11,-20.99963606965272,-0.06956948627750367,3614.5204930240025,3699.192531201354,5288.636363636364
Bay FC,PayPal Park,33,-7.207039059106725,0.07144317212705986,4278.349966649503,4761.890572370807,12795.09090909091
Chicago Stars FC,Northwestern Stadium,9,-4.167189964302587,0.725978904764745,4722.11017186466,4857.38204265505,4368.444444444444
Washington Spirit,Audi Field,58,-0.30943864001030086,0.7814645591978252,4826.227106744961,5551.638480288475,12962.551724137931
Kansas City Current,Children's Mercy Park,30,-12.934634147044395,0.2736524860018675,6209.941673337987,6772.9893025983665,8759.466666666667
Angel City FC,BMO Stadium,41,-17.196078753465418,0.4432768693394704,7784.60155685145,8061.526329306024,16434.51219512195
San Diego Wave FC,Snapdragon Stadium,48,-5.313133560290574,0.023794010867665968,9391.873561577442,11307.005643173961,16494.625
Portland Thorns FC,Providence Park,111,-26.886665084569355,0.5021943829299738,10448.296188386872,10766.807730998567,17944.666666666668
