table_rank,opponent_table_rank,days_since_last_home_game,year,day_of_week,home_team,away_team
1,8,14.0,2026,Friday,NJ/NY Gotham FC,Angel City FC
1,8,14.0,2026,Saturday,NJ/NY Gotham FC,Angel City FC
1,8,14.0,2026,Sunday,NJ/NY Gotham FC,Angel City FC
1,11,14.0,2026,Friday,NJ/NY Gotham FC,Bay FC
1,11,14.0,2026,Saturday,NJ/NY Gotham FC,Bay FC
1,11,14.0,2026,Sunday,NJ/NY Gotham FC,Bay FC
1,10,14.0,2026,Friday,NJ/NY Gotham FC,Boston Breakers
1,10,14.0,2026,Saturday,NJ/NY Gotham FC,Boston Breakers
1,10,14.0,2026,Sunday,NJ/NY Gotham FC,Boston Breakers
1,16,14.0,2026,Friday,NJ/NY Gotham FC,Boston Legacy FC
1,16,14.0,2026,Saturday,NJ/NY Gotham FC,Boston Legacy FC
1,16,14.0,2026,Sunday,NJ/NY Gotham FC,Boston Legacy FC
1,15,14.0,2026,Friday,NJ/NY Gotham FC,Chicago Stars FC
1,15,14.0,2026,Saturday,NJ/NY Gotham FC,Chicago Stars FC
1,15,14.0,2026,Sunday,NJ/NY Gotham FC,Chicago Stars FC
1,12,14.0,2026,Friday,NJ/NY Gotham FC,Denver Summit FC
1,12,14.0,2026,Saturday,NJ/NY Gotham FC,Denver Summit FC
1,12,14.0,2026,Sunday,NJ/NY Gotham FC,Denver Summit FC
1,7,14.0,2026,Friday,NJ/NY Gotham FC,FC Kansas City
1,7,14.0,2026,Saturday,NJ/NY Gotham FC,FC Kansas City
1,7,14.0,2026,Sunday,NJ/NY Gotham FC,FC Kansas City
1,9,14.0,2026,Friday,NJ/NY Gotham FC,Houston Dash
1,9,14.0,2026,Saturday,NJ/NY Gotham FC,Houston Dash
1,9,14.0,2026,Sunday,NJ/NY Gotham FC,Houston Dash
1,5,14.0,2026,Friday,NJ/NY Gotham FC,Kansas City Current
1,5,14.0,2026,Saturday,NJ/NY Gotham FC,Kansas City Current
1,5,14.0,2026,Sunday,NJ/NY Gotham FC,Kansas City Current
1,7,14.0,2026,Friday,NJ/NY Gotham FC,North Carolina Courage
1,7,14.0,2026,Saturday,NJ/NY Gotham FC,North Carolina Courage
1,7,14.0,2026,Sunday,NJ/NY Gotham FC,North Carolina Courage
1,9,14.0,2026,Friday,NJ/NY Gotham FC,Orlando Pride
1,9,14.0,2026,Saturday,NJ/NY Gotham FC,Orlando Pride
1,9,14.0,2026,Sunday,NJ/NY Gotham FC,Orlando Pride
1,6,14.0,2026,Friday,NJ/NY Gotham FC,Portland Thorns FC
1,6,14.0,2026,Saturday,NJ/NY Gotham FC,Portland Thorns FC
1,6,14.0,2026,Sunday,NJ/NY Gotham FC,Portland Thorns FC
1,16,14.0,2026,Friday,NJ/NY Gotham FC,Racing Louisville FC
1,16,14.0,2026,Saturday,NJ/NY Gotham FC,Racing Louisville FC
1,16,14.0,2026,Sunday,NJ/NY Gotham FC,Racing Louisville FC
1,2,14.0,2026,Friday,NJ/NY Gotham FC,San Diego Wave FC
1,2,14.0,2026,Saturday,NJ/NY Gotham FC,San Diego Wave FC
1,2,14.0,2026,Sunday,NJ/NY Gotham FC,San Diego Wave FC
1,16,14.0,2026,Friday,NJ/NY Gotham FC,Seattle Reign FC
1,16,14.0,2026,Saturday,NJ/NY Gotham FC,Seattle Reign FC
1,16,14.0,2026,Sunday,NJ/NY Gotham FC,Seattle Reign FC
1,3,14.0,2026,Friday,NJ/NY Gotham FC,Utah Royals FC
1,3,14.0,2026,Saturday,NJ/NY Gotham FC,Utah Royals FC
1,3,14.0,2026,Sunday,NJ/NY Gotham FC,Utah Royals FC
1,2,14.0,2026,Friday,NJ/NY Gotham FC,Washington Spirit
1,2,14.0,2026,Saturday,NJ/NY Gotham FC,Washington Spirit
1,2,14.0,2026,Sunday,NJ/NY Gotham FC,Washington Spirit
1,5,14.0,2026,Friday,NJ/NY Gotham FC,Western New York Flash
1,5,14.0,2026,Saturday,NJ/NY Gotham FC,Western New York Flash
1,5,14.0,2026,Sunday,NJ/NY Gotham FC,Western New York Flash
