team,venue_name,n_games,r2,pearson_r,mae,rmse,mean_attendance
Seattle Reign FC,Cheney Stadium,12,-0.5738995331390437,,1560.6612985157408,1976.1699002270404,5212.583333333333
North Carolina Courage,WakeMed Soccer Park,103,-0.00802107064167501,,1716.7886418650935,2080.3106076724116,5868.300970873786
Racing Louisville FC,Lynn Family Stadium,62,-1.508610760128951,,2017.4714366363269,2233.98871139563,5844.048387096775
Washington Spirit,Maryland SoccerPlex,44,-4.162686216709902,,2161.8961597123666,2339.264477605058,3614.931818181818
Utah Royals FC,America First Field,59,-0.20712541688122865,,2446.769988389395,3891.2557054600215,9777.338983050848
Orlando Pride,Inter&Co Stadium,98,-0.4156625067635771,,2896.4821092019306,3655.278867886702,6797.632653061224
San Diego Wave FC,Torero Stadium,11,-16.138371357387143,,3067.739253682527,3127.609368189957,5288.636363636364
Seattle Reign FC,Lumen Field,61,-0.22229969038526454,,3638.8595365895076,6150.231856578504,9073.557377049181
Bay FC,PayPal Park,33,-6.624535639849164,,4205.776799810978,4664.89729950158,12795.09090909091
NJ/NY Gotham FC,Red Bull Arena,63,-0.8455684171793547,,4218.316928988547,4984.112325057738,7393.285714285715
Houston Dash,Shell Energy Stadium,107,-3.9853869019744472,,4603.905893198433,4883.215929758732,5432.887850467289
Washington Spirit,Audi Field,58,-0.4512699733974699,,4841.489426431188,5832.427067595347,12962.551724137931
Chicago Stars FC,Northwestern Stadium,9,-5.108013113869931,,5298.551942428133,5484.694708425769,4368.444444444444
Kansas City Current,Children's Mercy Park,30,-10.185649567355373,,5844.209615585268,6458.940626226681,8759.466666666667
Angel City FC,BMO Stadium,41,-9.744101426491593,,6316.967018161184,6709.978799410188,16434.51219512195
San Diego Wave FC,Snapdragon Stadium,48,-3.4434456348205176,,8297.72765984113,10380.40180907917,16494.625
Portland Thorns FC,Providence Park,111,-21.20483739546244,,9745.722910355787,10167.696866742352,17944.666666666668
