stadium_id,catchment_pop_30min,catchment_pop_60min,median_travel_time_reachable
0Oq62v7q6D,26886.0,358541.0,78.0
0x5g6ojM7O,57833.0,549316.0,73.5
7vQ7xbOMD1,218728.0,1464640.0,74.0
9Yqda07QvJ,111635.0,833559.0,57.5
BLMvra8Mxe,26979.0,188743.0,61.5
ETIHAD_PARK,448545.0,3201230.0,73.0
KXMe8lXQ64,75360.0,782732.0,68.0
NPqxy6XQ9d,4307.0,6028.0,91.0
NWMW84L5lz,64815.0,1051425.0,91.0
Oa5wKXY514,9590.0,402583.0,72.0
Oa5wdz9q14,6697.0,77359.0,70.5
Vj58W84M8n,15341.0,471028.0,73.0
e7MzlRjqr0,12748.0,316627.0,67.0
gpMOrLOQzy,11054.0,39683.0,85.5
p6qbX06M0G,92452.0,694333.0,56.0
vzqoGO7qap,12217.0,25934.0,99.0
vzqoJrj5ap,25319.0,263292.0,76.0
xW5p3L0Mg1,7167.0,123809.0,72.0
xW5pwORMg1,30395.0,676306.0,64.0
